Date,Open,High,Low,Close,Volume
20210723  09:30:00,74.14,74.4,74.0,74.23,1031
20210723  09:31:00,74.23,76.2,74.15,75.39,27339
20210723  09:32:00,75.29,77.53,75.23,77.34,16652
20210723  09:33:00,77.35,77.53,76.82,77.38,13464
20210723  09:34:00,77.35,77.85,77.2,77.2,11624
20210723  09:35:00,77.21,78.14,77.2,77.7,15102
20210723  09:36:00,77.7,78.32,77.46,77.92,12037
20210723  09:37:00,77.83,78.12,77.13,77.91,9277
20210723  09:38:00,77.86,78.5,77.69,77.92,11561
20210723  09:39:00,77.89,78.2,77.82,77.91,7040
20210723  09:40:00,77.92,78.68,77.91,78.41,8633
20210723  09:41:00,78.45,78.55,77.95,78.41,7032
20210723  09:42:00,78.39,78.54,78.19,78.33,6716
20210723  09:43:00,78.29,78.4,77.97,78.22,6263
20210723  09:44:00,78.22,78.25,77.63,77.92,6328
20210723  09:45:00,77.9,77.94,77.11,77.37,7650
20210723  09:46:00,77.32,77.6,76.9,77.38,9122
20210723  09:47:00,77.38,77.4,76.88,76.89,6300
20210723  09:48:00,76.87,77.15,76.57,76.74,7136
20210723  09:49:00,76.76,77.35,76.52,77.3,7496
20210723  09:50:00,77.34,77.65,76.95,77.41,7327
20210723  09:51:00,77.41,77.47,76.66,76.71,4667
20210723  09:52:00,76.71,76.94,76.24,76.54,6259
20210723  09:53:00,76.51,76.97,76.2,76.59,6865
20210723  09:54:00,76.61,76.89,76.36,76.84,4215
20210723  09:55:00,76.84,77.09,76.41,76.83,4988
20210723  09:56:00,76.83,76.85,76.16,76.42,5974
20210723  09:57:00,76.5,76.7,76.2,76.44,3578
20210723  09:58:00,76.45,76.99,76.42,76.99,4305
20210723  09:59:00,76.99,77.35,76.92,77.21,6090
20210723  10:00:00,77.19,77.5,76.56,76.72,7024
20210723  10:01:00,76.68,77.51,76.61,77.26,4453
20210723  10:02:00,77.24,77.75,77.07,77.66,5290
20210723  10:03:00,77.67,78.19,77.58,78.15,9304
20210723  10:04:00,78.14,78.35,77.85,77.85,7059
20210723  10:05:00,77.84,77.92,77.4,77.64,5034
20210723  10:06:00,77.64,78.27,77.57,77.57,5745
20210723  10:07:00,77.59,77.78,77.1,77.2,3879
20210723  10:08:00,77.18,77.8,77.18,77.46,4437
20210723  10:09:00,77.51,77.63,77.15,77.41,4046
20210723  10:10:00,77.39,77.53,76.85,77.28,6033
20210723  10:11:00,77.29,77.71,77.2,77.27,4277
20210723  10:12:00,77.24,77.72,76.95,77.06,3634
20210723  10:13:00,77.08,77.35,76.88,77.11,2943
20210723  10:14:00,77.15,77.25,76.64,77.0,4174
20210723  10:15:00,76.95,77.46,76.93,77.04,3310
20210723  10:16:00,77.04,77.41,77.04,77.28,3138
20210723  10:17:00,77.25,77.67,77.2,77.25,5627
20210723  10:18:00,77.29,77.45,76.65,76.83,3526
20210723  10:19:00,76.82,76.92,76.41,76.67,2983
20210723  10:20:00,76.68,76.85,76.33,76.5,3344
20210723  10:21:00,76.51,76.82,76.39,76.45,2649
20210723  10:22:00,76.53,76.91,76.45,76.77,2834
20210723  10:23:00,76.75,77.06,76.58,76.62,3673
20210723  10:24:00,76.6,76.8,76.23,76.69,4287
20210723  10:25:00,76.74,76.93,76.59,76.8,2908
20210723  10:26:00,76.81,77.2,76.81,76.85,4115
20210723  10:27:00,76.89,77.25,76.67,76.93,3977
20210723  10:28:00,76.98,77.17,76.57,76.66,3033
20210723  10:29:00,76.69,76.85,76.25,76.29,3151
20210723  10:30:00,76.28,76.68,76.28,76.57,3419
20210723  10:31:00,76.52,77.09,76.52,77.08,2422
20210723  10:32:00,77.08,77.43,76.93,77.34,4955
20210723  10:33:00,77.37,77.49,77.12,77.27,4139
20210723  10:34:00,77.26,77.27,76.84,76.92,2855
20210723  10:35:00,76.92,77.0,76.47,76.52,2879
20210723  10:36:00,76.51,76.68,76.25,76.37,5080
20210723  10:37:00,76.39,76.53,75.74,75.84,7258
20210723  10:38:00,75.86,76.5,75.65,76.34,7519
20210723  10:39:00,76.35,76.45,75.85,75.89,3874
20210723  10:40:00,75.85,76.0,75.73,75.79,3742
20210723  10:41:00,75.8,75.9,75.52,75.71,3978
20210723  10:42:00,75.69,75.82,75.38,75.61,4513
20210723  10:43:00,75.59,75.65,75.33,75.42,3639
20210723  10:44:00,75.41,75.61,75.4,75.56,2872
20210723  10:45:00,75.57,75.6,75.25,75.26,2643
20210723  10:46:00,75.27,75.49,75.09,75.34,3765
20210723  10:47:00,75.35,75.35,75.14,75.28,1508
20210723  10:48:00,75.25,75.31,75.0,75.09,3991
20210723  10:49:00,75.07,75.25,75.0,75.11,2925
20210723  10:50:00,75.11,75.59,74.91,75.57,6599
20210723  10:51:00,75.59,75.6,75.07,75.16,3908
20210723  10:52:00,75.15,75.17,74.75,74.88,3493
20210723  10:53:00,74.88,75.25,74.87,75.22,2593
20210723  10:54:00,75.17,75.43,74.97,75.05,3903
20210723  10:55:00,75.05,75.13,74.75,74.9,2546
20210723  10:56:00,74.9,75.34,74.85,75.18,3122
20210723  10:57:00,75.19,75.46,75.08,75.28,3166
20210723  10:58:00,75.28,75.44,75.13,75.44,2089
20210723  10:59:00,75.44,75.59,75.28,75.38,3104
